Medicine Name,ML,IU/Package,Total Units
Lantus Solostar 100IU/ml Solution for Injection,3,100,300
Lentard 40IU/ml Injection,10,40,400
Lentisulin CPI 400IU Injection,10,400,4000
Lentisulin Hpi 400IU Injection,10,400,4000
Levemir 100IU/ml Flexpen,3,100,300
Longact 40IU/ml Injection,10,40,400
Lupisulin M 30 Solution for Injection 100IU/ml,3,100,300
Lupisulin M 30 Solution for Injection 40IU/ml,10,40,400
Lupisulin M 50 40IU/ml Solution for Injection,10,40,400
Lupisulin M 50 40IU/ml Solution for Injection,3,40,120
Lupisulin M 50 Solution for Injection 100IU/ml,3,100,300
Lupisulin M 50 Solution for Injection 100IU/ml,10,100,1000
Lupisulin N 100IU/ml Injection,3,100,300
Lupisulin N 100IU/ml Injection,10,100,1000
Lupisulin N 40IU/ml Injection,10,40,400
LUPIsulin R 100IU/ml Cartridge,3,100,300
LUPIsulin R 40IU/ml Solution for Injection,10,40,400
Lyumjev Kwikpen ( 3ml Each ),3,100,300
Lyumjev Solution for Injection ( 3ml Each ),3,100,300
Maxsulin 100IU Injection,3,100,300
Mixtard 30 Flexpen (3ml Each),3,100,300
Mixtard 30 Flexpen (3ml Each),3,100,300
Mixtard 30 HM 100IU/ml Penfill (3ml Each),3,100,300
Mixtard 50 HM 100IU/ml Penfill (3ml Each),3,100,300
Mixtard 50 HM 100IU/ml Penfill (3ml Each),3,100,300
Mixulin Hpi 30/70 Injection 40IU/ml,10,40,400
New Glaritus Injection,10,100,1000
New Glarzen 100IU Injection,3,100,300
New Wosulin 30/70 100IU/ml Injection 3ml,9,100,900
New Wosulin 30/70 Injection,15,40,600
New Wosulin 50/50 100IU/ml Injection 3ml,3,100,300
New Wosulin 50/50 Injection,15,40,600
New Wosulin R 100IU/ml Injection 3ml Each,3,100,300
New Wosulin R Injection,15,40,600
Newsulin 30/70 Injection,15,40,600
Newsulin 40IU Injection,15,40,600
Nobeglar Solution for Injection,5,100,500
Nobeglar Solution for Injection,3,100,300
Nobeglar-Uno Solution for Injection,3,100,300
Novomix 30 100IU Penfill (3ml Each),3,100,300
Novomix 30 100IU Penfill (3ml Each),3,100,300
Novomix 30 Flexpen 100IU/ml,3,100,300
Novomix 50 100IU/ml Penfill,3,100,300
Novomix 50 Suspension for Injection 100IU/ml,3,100,300
Novorapid 100IU Solution for Injection,10,100,1000
NovoRapid 100IU/ml FlexPen,3,100,300
NovoRapid Penfill (3ml Each),3,100,300
NovoRapid Penfill (3ml Each),3,100,300
NovoRapid Penfill (3ml Each),3,100,300
Porcine Longact 40IU Injection,10,40,400
Rapilog 100IU Injection,3,100,300
Rapimix 40IU Injection,10,40,400
Recosulin M 30 40IU/ml Injection,10,40,400
Recosulin M 50 100IU/ml Injection,10,100,1000
Recosulin M 50 Injection 40IU/ml,10,40,400
Recosulin N 100IU Injection,10,100,1000
Recosulin N 40IU/ml Injection,10,40,400
Recosulin R 40IU/ml Injection,10,40,400
Ryzodeg 100 unit/ml Penfill (3ml Each),3,100,300
Ryzodeg 100IU/ml Flextouch,3,100,300
Ryzodeg 100IU/ml Penfill,3,100,300
Toujeo 300U/ml Solution for Injection (1.5ml Each),1.5,300,450
Toujeo 300U/ml Solution for Injection (1.5ml Each),1.5,300,450
Toujeo Toujeo 300U/ml Solution for Injection (1.5ml Each),1.5,300,450
Tresiba 100 Units/ml Penfill (3ml Each),3,100,300
Tresiba 100IU/ml Flextouch,3,100,300
Univia N 40IU/ml Injection,10,40,400
Univia R 40IU/ml Injection,10,40,400
Vibrenta 100IU Injection,3,100,300
Vitasulin Injection,10,40,400
Vitasulin N 100 IU Injection,10,100,1000
Wosulin 30/70 40IU/ml Injection,15,40,600
Wosulin 50/50 Dispo Pen 2,3,100,300
Wosulin 50/50 Injection 40IU/ml,3,40,120
Wosulin 50/50 Injection 40IU/ml,10,40,400
Wosulin 50/50 Solution for Injection 100IU/ml,3,100,300
Wosulin R Dispopen 2,3,100,300
Wosulin-N 100IU/ml Injection,5,100,500
Wosulin-N 40IU Suspension for Injection,15,40,600
Wosulin-N 40IU/ml Suspension for Injection,10,40,400
Wosulin-R 100IU/ml Injection,5,100,500
Wosulin-R DispoPen,3,100,300
Xglar One 100IU Prefilled Syringe,3,100,300
Xglar Refil 100IU Injection,3,100,300
Xglar Refil Injection (3ml Each),3,100,300
Xglar Solution for Injection,5,100,500
Xsulin 100IU Pen,3,100,300
Xsulin 30/70 Eris1pen Injection,3,100,300
Xsulin 30/70 Suspension for Injection,10,40,400
Xsulin 30/70 Suspension for Injection,3,100,300
Xsulin 50/50 Injection,10,100,1000
Xsulin 50/50 Suspension for Injection,3,100,300
Xsulin R Eris1pen Injection,3,100,300
Xsulin R Solution for Injection,3,100,300
Xultophy Injection,3,100,300
